AGE,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
25,799441,805552,798662,784405,844284,791308,764459,773334,770855,776601,746298,772761,813289,827142,840253,733648,714716,706242,683409,656162,831433,824514,867851,792596,811717,748714,743196,744615,774522,778169,789918,796517,796763,828537,843362,872380,879701,906007,963132,945184,952373,922376,910510,920109,891215,900606,881171,866363,862218,826412,779198,741177,727842,699874,676101,659365,662435,648469,642999,639200,625221,629785,648419,636172,638292,629535,634033,610365,598620,589181,588548,593948,602784,604410,620970
26,805365,794030,802201,794063,779081,837687,784472,759354,772065,765752,770620,745942,768478,808808,823313,836623,728786,708688,700341,678445,650769,832110,824652,864035,792576,806385,748183,742639,743827,773815,777477,788112,794836,795260,827008,841737,871035,878750,904948,962960,954437,951054,921425,909823,919778,891439,900272,881394,866763,863527,828619,784070,758879,742299,706101,680250,674244,675718,658216,654087,648230,634573,636582,651427,638904,642436,632522,636390,610326,594222,586447,595757,599883,609712,616040
27,792009,799591,790949,798271,789821,774497,830343,779688,755581,765081,761412,767286,745392,763737,804431,819768,833816,722793,702972,694167,673215,651090,832807,824855,860246,792571,801080,747633,742122,743088,773082,775947,786542,793479,794029,825750,840379,869991,878101,904314,972232,953111,950155,920329,909106,920151,891734,899921,881709,867783,865010,833458,802546,774121,749309,710814,695657,686628,684263,668204,662630,657302,641031,639283,653944,642007,645936,634599,636742,604340,592800,593962,602121,606796,620968
28,792325,786996,796471,786639,793387,785521,768507,824372,775105,750429,759152,758495,763908,745603,758612,800288,816213,830209,718660,696932,689308,673785,651425,833587,825018,856429,792562,795749,747053,741539,742185,771843,774708,785241,792347,793052,824758,839336,869211,877723,912488,970513,952264,949141,919231,908874,920325,891840,899688,882407,869634,871629,853201,819944,783404,756052,727577,709491,694690,693946,677576,671234,663290,643403,641855,657178,644515,647713,635013,630071,603690,600518,600247,608684,617578
29,781658,787312,784613,791930,782343,789369,780009,764348,817930,771701,745588,755764,755218,760931,745691,754505,795637,813219,826651,712273,690870,689880,674381,651799,834297,825216,852621,792570,790395,746481,740857,740766,770795,773712,784226,791433,792305,823942,838482,868666,885387,911439,969252,951154,948147,918419,908515,920558,891990,899722,883668,875739,891228,868826,828270,789630,772050,739773,716429,701935,701007,685561,676818,665331,645791,644695,659634,646532,647793,627765,629860,611485,607176,606664,619285
30,773060,778341,785550,781799,786906,778617,782777,777054,760594,815189,765997,742501,752304,752221,757900,745136,749899,791166,809483,823452,708034,691773,690435,675013,652103,834936,825398,848787,792518,785057,745762,739613,739585,769998,772911,783381,790734,791756,823319,837912,874945,884327,910643,967813,950032,947357,917543,908146,920694,892438,900924,890629,895245,908357,877287,834848,806212,785652,746600,723586,708916,708941,690730,678538,667346,648456,646636,661682,646752,640573,628267,637987,618035,613394,616701
31,785722,769930,775884,782117,777824,783414,773446,780598,771750,756494,810617,763152,739809,748696,748725,754950,745264,745050,786835,806968,819868,708228,692629,691044,675625,652409,835608,825577,844923,792403,779465,744297,738633,738651,769395,772311,782749,790147,791281,822825,844516,873803,883586,909788,966305,949232,946598,916516,907689,921098,893166,906049,906781,908177,914972,880861,848598,816391,791110,751830,727308,716312,714079,692273,680181,669475,650448,648958,661651,639502,641388,635933,644654,624066,622620
32,512255,781950,767732,773104,778335,774658,777271,770749,774567,768828,750949,809926,760568,736765,745906,745329,751147,744984,740439,782307,802827,816901,708415,693516,691657,676227,652754,836306,825735,841000,791944,777965,743075,737844,737968,768940,771797,782263,789668,790912,828956,843723,872964,882709,908841,964784,948360,945718,915438,907551,921367,896733,918756,916517,911436,917044,891104,855534,819346,794814,753237,734319,720876,715538,693458,681886,670717,652430,649095,655408,640417,648946,641873,650554,632842
33,407534,509652,779449,765045,770864,775680,770406,774327,765452,771596,763168,748969,808610,756895,734250,742007,742221,747953,744636,735626,778076,801354,813949,708584,694372,692178,676796,653076,836913,825785,836689,790036,776693,742014,737216,737397,768602,771378,781786,789261,796336,827998,843175,871966,881888,908246,963341,947544,944806,914610,907912,926071,909430,928570,920311,913405,927496,897100,858065,822683,795912,759793,738827,722073,716830,694656,683056,672536,652402,643652,656863,647487,655353,647702,658435
34,429250,405769,508554,776133,761607,768717,770506,767490,769720,762196,765886,760349,745661,807936,754219,731411,738429,739179,744810,744182,731215,777876,799915,810955,708772,695152,692709,677293,653311,837483,825569,834713,788428,775669,741192,736737,736914,768332,771006,781370,794196,795185,827155,842454,871057,881370,907752,961870,946610,944087,914821,913686,938166,918845,931974,922453,922752,933969,899375,861703,824202,801901,764214,739783,722978,718039,695415,684894,672541,647011,644714,663770,653422,661053,655322
35,538539,427118,404236,506487,773761,758372,764998,768439,764358,765564,757049,763705,757274,743819,806713,751084,728162,734777,735933,741506,743288,731042,777604,798381,807895,708897,695922,693226,677751,653500,837814,823541,832990,786964,774738,740473,736371,736534,768023,770678,786480,792776,794282,826143,841892,870408,881064,907232,960387,945857,943840,919819,925838,947186,922657,933893,931738,928730,936890,902528,862572,829672,806028,765110,741009,723845,718861,696965,685014,667278,648310,651300,669845,658711,667962
36,688801,536693,426263,402737,504808,771364,754987,763012,764832,761408,760251,754392,760352,754223,741284,806152,747726,724901,731217,732807,738091,739483,730913,777310,796807,804842,708895,696658,693664,678187,653460,835475,821758,831489,785701,773966,739874,736056,736193,767746,775961,785255,791564,793124,825232,841686,869916,880705,906685,959034,946489,950576,933625,937952,953039,927222,945180,940224,933729,942128,905540,867619,833437,806726,765659,741912,724286,720821,696978,681128,668732,654236,656778,675065,665014
37,710264,685064,534596,425150,400661,503309,767477,752573,759653,761919,756799,756975,751109,757963,750913,738473,804614,744454,721900,727603,729284,737251,735611,730691,776937,795142,801650,708912,697381,694034,678358,651865,833448,820193,830188,784554,773322,739320,735839,735845,772669,774929,784270,790054,791918,824575,841754,869288,880241,906275,958492,951090,960927,943903,943006,956367,937780,952376,944329,938132,944130,910056,871033,833639,807208,765861,742259,725890,720776,693606,682175,674296,659457,661537,680688
38,727535,707368,682714,532929,423095,399206,500916,765709,749298,757445,757770,755849,753971,748965,755743,747705,735788,803617,741102,718576,724124,728625,736357,731742,730404,776500,793482,798481,708837,697969,694022,676398,650342,831547,818633,828909,783463,772805,738927,735632,740506,771336,773990,782965,788519,790790,823960,841501,868640,879883,906125,962393,960446,968518,948261,946183,966067,944598,955700,947990,939840,948332,912952,871157,834054,807330,765795,743989,725693,718130,694653,687364,679338,663852,667119
