age,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
23,-6048,-3835,-4392,-6471,-6608,-4984,-5525,-1931,-3760,-3559,-3045,-3521,-5336,-5702,-5748,-5892,-5017,-5990,-5830,-1931,-99,-5480,-568,-601,-756,-743,-588,-443,-219,-338,-2122,-2257,-2031,-1707,-1999,-1329,-1060,-459,-42,9016,-1243,-576,-688,-609,196,523,1348,1507,2024,2121,1881,10886,8162,3993,4410,15141,13471,9748,11332,8707,8208,5710,3130,3037,3837,5336,4238,1187,-158,-4982,7303,5982,6632,10023
24,-6657,-3529,-5565,-6500,-5428,-7297,-4878,-3930,-4070,-4260,-5301,-3609,-3689,-5224,-6181,-5468,-5137,-5136,-5400,-5487,-3866,-97,-5315,-604,-593,-791,-657,-553,-479,-439,-1918,-1930,-2153,-1814,-1416,-1751,-943,-582,113,8421,-1384,-510,-490,-880,228,264,395,1566,2040,1957,3361,13531,9938,3862,4067,14615,14447,10002,10227,9044,9178,6630,3525,2796,3867,4435,3958,1128,-994,-3922,7407,6637,8047,10698
25,-6516,-2836,-3858,-6260,-5858,-6964,-6267,-1230,-5693,-5779,-4701,-4258,-2679,-2593,-5493,-5946,-5711,-5952,-4711,-5465,142,-3920,-69,-5347,-534,-543,-738,-696,-554,-603,-1884,-1774,-1779,-1964,-1620,-1230,-1422,-522,-215,9396,-1498,-763,-383,-560,-358,71,193,765,2275,2031,4335,16087,12434,4656,3955,15151,13730,10292,11056,8727,9142,6714,3219,3066,3129,4413,2662,657,-2451,-3240,7029,6602,6962,11220
26,-5411,-3351,-4599,-5324,-6597,-6836,-5105,-1269,-5103,-5981,-356,-4283,-4481,-3829,-3630,-4862,-6028,-5901,-4964,-5393,677,138,-3816,-20,-5332,-531,-557,-788,-707,-692,-1806,-1681,-1503,-1529,-1625,-1345,-951,-1059,-172,9253,-1319,-951,-687,-331,224,-334,223,400,1309,2207,4872,17702,14457,6227,4149,14879,13283,9747,11088,9030,9352,6797,3008,2732,4144,2987,2357,-39,-4398,-2734,7209,5935,6928,11630
27,-5774,-3081,-3930,-4242,-4584,-7344,-4784,-3773,-6984,-4340,-3334,-550,-4741,-4377,-3545,-2807,-5993,-5716,-6174,-5230,321,697,203,-3789,-5,-5305,-550,-517,-739,-733,-1530,-1570,-1357,-1231,-1258,-1358,-1044,-649,-634,9272,-1326,-899,-1096,-717,373,295,-351,315,1020,1483,4839,18476,15242,7010,4713,15407,12384,8545,9988,8543,9072,6458,2701,2517,3103,3500,2077,352,-5986,-1422,7515,6364,6913,11256
28,-5013,-3120,-4310,-4884,-4300,-5990,-5971,-4583,-5152,-5929,-2917,-3378,211,-5125,-4143,-3555,-3607,-4133,-6040,-4859,570,335,780,163,-3817,-9,-5331,-580,-583,-903,-1239,-1239,-1301,-1132,-977,-992,-1043,-780,-378,8174,-1719,-847,-1014,-1098,-232,174,106,-233,698,1851,6619,19743,17398,9283,6743,16763,13834,8062,9683,9372,8604,5988,2372,2572,3234,2508,1777,414,-6671,-650,7718,6285,6563,10782
29,-5013,-2383,-4541,-4296,-4018,-5512,-4159,-6442,-3404,-4841,-3388,-3277,-2977,88,-4107,-4651,-2994,-3558,-6387,-6062,572,596,374,710,198,-3808,8,-5354,-572,-682,-1419,-1048,-996,-1015,-914,-747,-816,-854,-545,7664,-1049,-1261,-1110,-994,-812,-359,233,150,34,1261,6105,19599,15625,8326,6226,15998,12196,6938,7245,7061,7985,5584,2041,2388,2840,2456,2017,80,-7248,-211,7795,6658,6417,10601
30,-3317,-1762,-2814,-5024,-3726,-6592,-2955,-3754,-2741,-5704,-3087,-3460,-2997,-3031,-555,-4606,-4471,-3736,-3199,-4239,903,555,632,304,639,182,-3834,-52,-5338,-719,-1244,-1181,-797,-801,-845,-699,-549,-623,-570,6279,-1060,-796,-1439,-1122,-790,-876,-369,136,448,1202,6961,19506,17129,8461,6578,16582,13602,6827,7157,6981,7934,5169,1720,2015,2665,1941,2048,220,-7220,502,8127,6550,6218,10037
31,-3130,-2457,-3433,-3975,-3492,-5171,-2179,-5304,-4100,-4572,-2845,-2692,-3608,-3496,-2950,128,-4849,-4331,-2515,-3584,194,856,609,612,306,672,179,-3864,-115,-5592,-1465,-980,-934,-603,-600,-632,-587,-475,-494,6604,-1142,-741,-855,-1508,-800,-759,-1027,-457,404,728,5125,16152,12932,6615,3574,13750,10179,5458,5230,3722,7396,5138,1543,1643,2129,1992,2322,-31,-7250,815,7666,6667,6031,9226
32,-3772,-2198,-2780,-3782,-3166,-6143,-2697,-6031,-2922,-5545,-691,-2584,-3044,-2790,-3396,-3803,-280,-4611,-4528,-4141,-2967,187,887,613,602,345,698,158,-3923,-459,-1500,-1222,-789,-683,-455,-514,-486,-479,-369,6131,-793,-839,-877,-947,-1521,-872,-880,-1078,-138,269,3567,12707,9736,3259,2072,10243,6936,2955,3704,1407,7011,4564,1459,1185,1705,1242,1982,137,-6243,915,7558,5940,5900,8776
33,-2603,-2501,-2687,-2240,-2655,-4252,-2944,-5297,-2971,-5660,-1980,-1316,-3673,-2515,-3899,-3108,-3194,-348,-4813,-4231,-1473,-2952,169,856,521,569,322,607,50,-4311,-1908,-1272,-1061,-628,-571,-338,-419,-477,-407,5424,-958,-548,-998,-821,-595,-1443,-816,-912,-828,361,4704,12697,9814,3794,1969,10452,5996,2531,3337,1098,6556,4508,1197,1292,1198,1170,1819,-28,-5443,1455,7070,6407,5829,7881
